Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
33,Jason Collins,C,27,NJN,11,302,3.0,.447,.000,.880,7.9,15.1,11.3,1.5,0.9,0.6,20.6,6.9,,0.0,0.3,0.2,.037,,-5.8,0.1,-5.7,-0.3,collija04
34,Brian Cook,PF,25,LAL,7,78,18.3,.461,.239,.087,17.0,18.7,17.8,19.3,0.7,0.0,5.9,29.6,,0.1,0.0,0.1,.077,,2.9,-1.4,1.5,0.1,cookbr01
35,Austin Croshere,PF,30,IND,6,175,9.9,.534,.605,.474,3.8,11.8,8.0,6.9,1.6,0.0,11.6,14.5,,0.1,0.2,0.3,.076,,0.5,-0.8,-0.3,0.1,croshau01
36,Erick Dampier,C,30,DAL,19,454,13.9,.577,.016,.698,14.2,19.8,16.9,2.0,1.3,4.4,12.7,9.7,,0.8,0.8,1.6,.166,,0.2,1.7,1.9,0.4,dampier01
37,Antonio Daniels,SG,30,WAS,6,216,15.2,.640,.212,.423,1.1,8.5,4.7,15.9,0.7,0.3,14.0,15.5,,0.5,0.1,0.5,.120,,1.5,-1.0,0.6,0.1,daniean01
38,Marquis Daniels,SG,25,DAL,20,222,11.7,.521,.089,.375,5.3,6.2,5.7,18.7,1.2,0.4,15.5,16.2,,0.2,0.2,0.4,.093,,0.5,0.4,0.9,0.2,daniema01
39,Dale Davis,C,36,DET,8,36,-11.0,.129,.000,.667,3.3,28.2,15.3,4.2,0.0,0.0,27.9,14.5,,-0.2,0.1,-0.2,-0.203,,-16.2,-1.4,-17.7,-0.1,davisda01
40,Carlos Delfino,SG,23,DET,8,32,-6.6,.363,.333,.333,0.0,15.9,7.6,9.8,1.8,0.0,46.6,19.6,,-0.2,0.0,-0.2,-0.234,,-12.0,-1.7,-13.6,-0.1,delfica01
41,Tony Delk,PG,32,DET,16,138,11.4,.467,.319,.213,3.4,12.9,8.0,10.9,2.5,0.0,7.2,19.5,,0.0,0.2,0.2,.079,,-2.7,0.6,-2.1,0.0,delkto01
42,Luol Deng,SF,20,CHI,6,180,10.5,.468,.089,.375,5.2,13.4,9.4,2.9,1.4,1.9,7.1,17.8,,-0.1,0.2,0.2,.041,,-1.6,-0.2,-1.7,0.0,denglu01
43,Boris Diaw,PF,23,PHO,20,796,18.8,.571,.024,.304,5.9,13.9,10.0,20.9,1.2,2.0,14.4,22.6,,1.4,0.4,1.8,.108,,2.3,0.8,3.1,1.0,diawbo01
44,DeSagana Diop,C,24,DAL,22,407,11.8,.629,.000,.462,11.5,21.1,16.2,0.7,1.9,5.7,19.0,6.6,,0.5,0.8,1.3,.156,,-1.7,3.5,1.8,0.4,diopde01
45,Michael Doleac,C,28,MIA,8,72,9.1,.576,.000,.154,10.4,25.2,18.2,0.0,0.7,0.0,17.8,11.1,,0.0,0.1,0.2,.117,,-3.1,-0.5,-3.6,0.0,doleami01
46,Chris Duhon,PG,23,CHI,6,131,7.9,.543,.640,.240,0.9,13.2,7.1,15.5,0.8,0.0,15.3,11.3,,0.1,0.1,0.2,.069,,-2.3,0.3,-2.1,0.0,duhonch01
47,Tim Duncan*,PF,29,SAS,13,493,30.4,.625,.009,.621,9.1,25.4,17.8,17.6,1.2,3.8,11.2,29.9,,2.0,0.6,2.6,.252,,5.8,2.8,8.6,1.3,duncati01
48,Francisco Elson,C,29,DEN,5,75,4.9,.600,.000,.000,6.7,10.6,8.4,4.2,2.8,0.0,37.5,4.7,,0.0,0.1,0.1,.073,,-6.6,1.5,-5.0,-0.1,elsonfr01
49,Maurice Evans,SG,27,DET,16,101,22.6,.715,.367,.533,7.0,10.1,8.5,5.8,0.6,0.8,5.1,18.8,,0.5,0.1,0.6,.283,,5.6,0.7,6.3,0.2,evansma01
50,Reggie Evans,PF,25,DEN,5,69,11.3,.637,.286,2.571,11.6,28.8,19.0,0.0,1.5,1.1,28.7,13.3,,0.0,0.1,0.2,.116,,-3.2,1.3,-1.9,0.0,evansre01
51,Daniel Ewing,SG,22,LAC,6,5,17.7,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,0.0,.182,,3.9,1.5,5.5,0.0,ewingda01
52,Michael Finley,SG,32,SAS,13,411,13.1,.598,.448,.190,0.3,14.1,7.6,7.1,1.1,0.6,7.3,14.5,,0.6,0.2,0.8,.092,,1.2,0.4,1.7,0.4,finlemi01
53,T.J. Ford,PG,22,MIL,5,162,13.9,.560,.098,.235,2.2,13.5,7.7,31.2,1.0,0.0,22.1,20.8,,0.1,-0.1,0.0,-0.001,,-0.3,-1.4,-1.7,0.0,fordtj01
54,Jeff Foster,C,29,IND,4,80,13.8,.431,.000,.364,18.3,19.7,19.1,6.3,2.8,1.0,0.0,7.8,,0.1,0.1,0.3,.158,,2.1,0.6,2.7,0.1,fosteje01
55,Dan Gadzuric,C,27,MIL,4,16,51.7,.860,.000,.222,15.1,16.0,15.5,0.0,0.0,5.5,0.0,28.8,,0.1,0.0,0.1,.403,,17.6,3.0,20.5,0.1,gadzuda01
56,Francisco García,SF,24,SAC,6,41,13.7,.547,.364,.182,0.0,6.9,3.1,4.1,2.7,4.2,0.0,13.6,,0.1,0.0,0.1,.082,,1.1,1.6,2.7,0.0,garcifr01
57,Pau Gasol*,PF,25,MEM,4,158,17.5,.505,.015,.448,3.3,18.0,10.9,17.8,0.7,2.5,12.1,29.9,,0.0,0.1,0.1,.015,,2.4,0.1,2.4,0.2,gasolpa01
58,Devean George,SF,28,LAL,7,121,10.8,.511,.618,.147,2.0,15.3,8.3,5.0,1.7,0.7,0.0,13.6,,0.1,0.0,0.2,.077,,0.6,0.7,1.3,0.1,georgde01
59,Eddie Gill,PG,27,IND,2,1,-59.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,48.9,,0.0,0.0,0.0,-1.572,,-27.7,-16.2,-43.9,0.0,gilled01
60,Manu Ginóbili*,SG,28,SAS,13,426,21.5,.612,.268,.554,2.9,14.2,8.9,16.3,2.4,1.2,14.5,26.1,,1.0,0.3,1.4,.154,,2.4,1.3,3.7,0.6,ginobma01
61,Drew Gooden,PF,24,CLE,13,282,16.4,.576,.000,.212,13.2,28.1,20.7,5.4,0.6,0.6,16.2,18.8,,0.4,0.4,0.8,.130,,0.1,-0.4,-0.3,0.1,goodedr01
62,Ben Gordon,SG,22,CHI,6,245,12.8,.515,.387,.349,2.4,7.1,4.7,13.8,1.2,0.0,12.2,25.9,,0.0,0.2,0.2,.031,,0.9,-1.1,-0.2,0.1,gordobe01
63,Danny Granger,SF,22,IND,6,162,15.4,.685,.471,.118,5.8,18.0,12.2,11.5,1.4,3.5,16.4,12.9,,0.3,0.2,0.5,.152,,2.6,2.7,5.3,0.3,grangda01
64,Brian Grant,C,33,PHO,5,12,-6.6,.258,.000,.667,20.2,0.0,10.0,0.0,0.0,0.0,0.0,15.2,,0.0,0.0,0.0,-0.093,,-15.0,-4.9,-19.9,-0.1,grantbr01
65,Adrian Griffin,SG,31,DAL,20,349,13.0,.568,.000,.136,9.4,15.4,12.3,10.6,2.3,0.5,15.0,9.8,,0.5,0.5,1.0,.142,,0.7,3.0,3.7,0.5,griffad01
66,Richard Hamilton,SG,27,DET,18,690,15.0,.509,.129,.368,2.7,6.6,4.6,14.4,1.4,0.6,9.8,28.1,,0.5,0.8,1.3,.090,,0.8,-0.5,0.3,0.4,hamilri01
67,Othella Harrington,C,32,CHI,3,15,-4.9,.000,.000,.000,0.0,15.4,7.8,0.0,3.4,0.0,0.0,9.1,,-0.1,0.0,0.0,-0.144,,-9.1,0.5,-8.6,0.0,harriot01
68,Devin Harris,PG,22,DAL,23,558,11.7,.531,.047,.433,3.2,5.4,4.2,15.1,1.7,0.4,17.1,20.4,,0.1,0.6,0.7,.063,,-1.2,-0.3,-1.6,0.1,harride01
69,David Harrison,C,23,IND,6,31,0.8,.455,.000,1.333,4.3,15.7,10.3,0.0,1.8,2.6,21.9,28.8,,-0.1,0.0,-0.1,-0.117,,-13.8,-0.6,-14.4,-0.1,harrida01
70,Jason Hart,PG,27,SAC,5,52,1.2,.360,.000,.154,2.2,2.7,2.4,9.1,3.2,0.0,22.4,16.2,,-0.1,0.0,-0.2,-0.148,,-7.1,-1.0,-8.0,-0.1,hartja01
71,Udonis Haslem,PF,25,MIA,22,650,11.5,.536,.007,.400,9.4,19.7,14.8,4.3,1.1,0.9,14.9,15.1,,0.4,1.1,1.5,.112,,-1.3,0.4,-0.9,0.2,hasleud01
72,Brendan Haywood,C,26,WAS,6,155,12.4,.652,.000,1.136,5.2,9.5,7.3,5.2,0.7,5.2,17.5,12.1,,0.2,0.1,0.3,.099,,-2.0,1.8,-0.2,0.1,haywobr01
73,Alan Henderson,C,33,CLE,2,9,-5.3,.000,.000,.000,13.3,13.1,13.2,0.0,0.0,0.0,0.0,10.6,,0.0,0.0,0.0,-0.156,,-8.3,-7.7,-16.0,0.0,hendeal01
74,Kirk Hinrich,PG,25,CHI,6,234,16.7,.547,.277,.447,0.0,9.8,5.0,36.3,1.7,0.7,17.6,26.5,,0.2,0.2,0.5,.094,,1.5,0.7,2.2,0.3,hinriki01
75,Robert Horry,PF,35,SAS,13,224,12.5,.568,.459,.703,11.6,15.6,13.7,7.3,1.2,3.0,17.1,12.7,,0.3,0.2,0.5,.105,,-0.1,1.6,1.6,0.2,horryro01
76,Eddie House,PG,27,PHO,14,130,4.6,.409,.269,.077,0.0,8.2,4.1,6.9,0.4,1.1,8.5,21.3,,-0.3,0.0,-0.3,-0.109,,-5.2,-2.7,-7.9,-0.2,houseed01
77,Josh Howard,SF,25,DAL,23,824,16.3,.545,.210,.320,5.8,19.7,12.5,6.8,1.5,1.4,12.9,22.8,,0.9,1.2,2.1,.120,,1.7,0.7,2.5,0.9,howarjo01
78,Larry Hughes,SG,27,CLE,9,336,9.2,.395,.159,.274,3.2,6.3,4.8,18.4,3.3,0.3,11.2,20.3,,-0.4,0.4,0.0,.006,,-2.2,0.6,-1.5,0.0,hughela01
79,Lindsey Hunter,PG,35,DET,18,217,11.2,.461,.564,.128,4.4,6.4,5.4,24.3,3.9,0.4,14.5,21.6,,0.0,0.4,0.3,.077,,-2.5,2.9,0.4,0.1,hunteli01
80,Zydrunas Ilgauskas,C,30,CLE,13,354,15.2,.501,.000,.303,11.2,16.3,13.8,5.3,0.8,6.5,15.1,21.4,,0.0,0.5,0.5,.071,,-0.8,0.7,-0.1,0.2,ilgauzy01
81,D.J. Mbenga,C,25,DAL,7,25,-1.5,.515,.000,.667,4.7,34.9,19.3,0.0,0.0,3.3,43.6,12.8,,-0.1,0.0,0.0,-0.040,,-11.9,2.1,-9.9,0.0,mbengdj01
82,Bobby Jackson,PG,32,MEM,4,100,2.7,.514,.379,.241,0.0,9.9,5.1,10.2,0.6,0.0,30.4,23.9,,-0.4,0.0,-0.4,-0.181,,-4.3,-3.2,-7.6,-0.1,jacksbo01
83,Jermaine Jackson,PG,29,MIL,2,4,-7.8,.000,.000,.000,0.0,0.0,0.0,63.5,0.0,0.0,0.0,23.3,,0.0,0.0,0.0,-0.409,,-8.6,-1.3,-9.9,0.0,jacksje01
84,Jim Jackson,SF,35,LAL,3,21,4.8,.333,.167,.000,11.5,6.3,9.0,14.3,2.5,4.0,25.0,17.4,,-0.1,0.0,0.0,-0.092,,-5.2,1.1,-4.1,0.0,jacksji01
85,Stephen Jackson,SG,27,IND,6,227,7.7,.445,.317,.220,2.9,11.8,7.6,17.0,1.0,0.4,14.3,22.6,,-0.3,0.2,-0.1,-0.030,,-2.5,-1.6,-4.1,-0.1,jacksst02
86,LeBron James,SF,21,CLE,13,604,23.2,.557,.205,.384,4.4,16.2,10.3,28.1,1.7,1.3,15.3,33.5,,1.0,0.7,1.7,.135,,6.3,1.2,7.5,1.4,jamesle01
87,Antawn Jamison,SF,29,WAS,6,253,15.2,.519,.323,.273,4.1,16.5,10.1,13.0,1.3,0.6,9.0,22.5,,0.3,0.2,0.5,.095,,1.2,-0.9,0.2,0.1,jamisan01
88,Šarūnas Jasikevičius,PG,29,IND,6,66,3.5,.428,.474,.105,2.0,9.2,5.8,16.7,0.0,1.2,20.1,18.4,,-0.1,0.0,-0.1,-0.077,,-4.2,-3.3,-7.5,-0.1,jasiksa01
89,Richard Jefferson,SF,25,NJN,11,437,20.1,.633,.176,.382,1.9,11.3,6.4,20.3,1.2,0.9,13.5,24.4,,1.0,0.4,1.4,.157,,3.8,0.4,4.3,0.7,jefferi01
90,Jared Jeffries,PF,24,WAS,6,215,8.8,.475,.163,.395,10.7,9.7,10.2,6.6,0.2,2.4,17.9,13.4,,0.0,0.1,0.1,.031,,-1.4,-1.8,-3.1,-0.1,jeffrja01
91,Anthony Johnson,PG,31,IND,6,242,19.6,.591,.230,.379,4.4,11.0,7.9,27.6,1.4,0.0,12.1,23.4,,0.6,0.2,0.8,.152,,4.0,0.1,4.1,0.4,johnsan02
92,DerMarr Johnson,SG,25,DEN,3,34,4.0,.269,.769,.000,5.9,31.2,16.8,10.0,0.0,2.3,7.1,18.1,,-0.1,0.1,-0.1,-0.072,,-4.2,-1.8,-6.0,0.0,johnsde03
93,Ervin Johnson,C,38,MIL,3,11,9.0,.532,.000,2.000,0.0,46.7,22.6,0.0,4.9,0.0,34.7,12.2,,0.0,0.0,0.0,-0.015,,-5.1,0.6,-4.5,0.0,johnser02
94,Dahntay Jones,SF,25,MEM,4,46,14.5,.746,.000,1.429,2.9,16.2,9.7,0.0,1.3,0.0,14.9,15.1,,0.1,0.0,0.1,.134,,-0.7,2.8,2.1,0.0,jonesda02
95,Damon Jones,PG,29,CLE,13,181,4.3,.432,.692,.154,1.3,9.1,5.3,10.3,0.6,0.0,9.8,8.1,,0.0,0.1,0.1,.034,,-3.7,0.5,-3.3,-0.1,jonesda01
96,Eddie Jones,SG,34,MEM,4,119,16.6,.576,.241,.517,3.3,8.3,5.9,17.1,1.5,0.7,2.7,16.0,,0.3,0.0,0.3,.123,,3.0,1.8,4.9,0.2,jonesed02
97,Fred Jones,SG,26,IND,6,167,11.8,.569,.444,.333,1.6,13.1,7.6,16.1,2.0,0.5,16.2,14.4,,0.1,0.2,0.3,.091,,0.2,1.5,1.8,0.2,jonesfr01
98,James Jones,SF,25,PHO,20,353,9.5,.460,.317,.317,5.5,18.7,12.2,1.9,0.7,3.6,8.8,13.7,,-0.1,0.3,0.2,.026,,-1.7,0.1,-1.5,0.0,jonesja02
99,Chris Kaman,C,23,LAC,11,324,12.6,.619,.000,.244,8.2,22.2,15.8,4.7,0.8,2.1,25.7,17.9,,0.0,0.4,0.4,.060,,-2.1,0.7,-1.3,0.0,kamanch01
100,Jason Kapono,SF,24,MIA,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.033,,-1.2,0.8,-0.5,0.0,kaponja01
101,Jason Kidd*,PG,32,NJN,11,450,16.4,.464,.379,.174,5.8,17.9,11.6,38.9,2.1,0.4,14.4,17.7,,0.5,0.6,1.0,.110,,2.4,1.0,3.3,0.6,kiddja01
102,Linas Kleiza,PF,21,DEN,3,14,11.1,.375,.125,.000,7.1,28.4,16.3,30.7,0.0,0.0,0.0,25.1,,0.0,0.0,0.0,.039,,-2.3,0.1,-2.2,0.0,kleizli01
103,Nenad Krstić,PF,22,NJN,11,366,13.9,.544,.000,.349,8.2,17.8,12.8,4.1,0.7,2.6,12.9,22.3,,0.1,0.4,0.6,.073,,-1.5,-0.6,-2.1,0.0,krstine01
104,Toni Kukoč*,PF,37,MIL,3,53,17.4,.739,.571,.143,0.0,12.1,5.9,26.7,1.0,0.0,16.8,15.7,,0.2,0.0,0.1,.118,,4.4,-0.2,4.2,0.1,kukocto01
105,Shaun Livingston,PG,20,LAC,12,332,13.2,.528,.013,.276,6.1,12.9,9.8,24.4,1.1,1.4,21.2,14.7,,0.3,0.3,0.6,.090,,-0.2,0.9,0.7,0.2,livinsh01
106,Corey Maggette,SF,26,LAC,12,292,20.9,.604,.197,.549,3.0,29.4,17.3,9.4,1.2,1.3,14.6,27.5,,0.6,0.5,1.1,.178,,1.2,1.0,2.2,0.3,maggeco01
107,Jamaal Magloire,C,27,MIL,5,135,14.7,.504,.000,.395,9.8,27.6,18.4,5.7,0.8,3.9,11.9,17.5,,0.1,0.0,0.1,.024,,-0.6,-0.4,-0.9,0.0,magloja01
108,Shawn Marion,PF,27,PHO,20,849,20.9,.561,.210,.201,8.2,24.4,16.4,5.8,2.3,1.9,5.7,21.3,,1.7,1.0,2.7,.154,,3.0,0.5,3.5,1.2,mariosh01
109,Donyell Marshall,PF,32,CLE,13,345,15.2,.552,.442,.163,8.4,16.8,12.6,4.1,1.1,2.2,10.4,17.2,,0.5,0.4,0.9,.123,,2.5,0.4,2.9,0.4,marshdo01
110,Kenyon Martin,PF,28,DEN,2,35,10.8,.324,.000,.154,17.1,11.4,14.7,5.1,6.0,4.5,17.8,21.2,,-0.1,0.1,0.0,-0.026,,-4.0,2.1,-1.9,0.0,martike01
111,Kevin Martin,SG,22,SAC,6,197,17.0,.592,.352,.537,5.8,14.3,9.6,2.5,0.8,0.9,2.9,16.4,,0.6,-0.1,0.5,.124,,3.6,-1.5,2.1,0.2,martike02
112,Walter McCarty,SF,31,LAC,8,10,-5.5,.250,.250,.000,0.0,10.7,5.8,0.0,0.0,0.0,0.0,18.1,,0.0,0.0,0.0,-0.154,,-12.4,-3.9,-16.3,0.0,mccarwa01
113,Antonio McDyess,PF,31,DET,18,370,17.9,.569,.010,.412,12.4,24.0,18.0,5.8,1.2,2.8,10.4,17.7,,0.6,0.7,1.3,.174,,-0.2,1.2,1.0,0.3,mcdyean01
114,Aaron McKie,PG,33,LAL,1,8,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.020,,-1.8,-2.0,-3.8,0.0,mckieaa01
115,Andre Miller,PG,29,DEN,5,182,15.3,.485,.000,.221,4.4,10.2,6.9,40.2,1.4,0.4,15.9,24.3,,0.0,0.2,0.2,.057,,2.2,0.3,2.5,0.2,millean02
116,Brad Miller,C,29,SAC,6,166,12.6,.476,.135,.250,2.1,12.7,6.9,15.5,2.3,2.6,10.8,18.3,,0.1,0.0,0.0,.013,,-0.3,0.3,0.1,0.1,millebr01
117,Mike Miller,SG,25,MEM,4,107,9.2,.501,.267,.300,1.2,16.2,8.9,13.2,1.1,1.5,19.1,20.3,,-0.1,0.0,-0.1,-0.037,,-1.5,-0.2,-1.7,0.0,millemi01
118,Cuttino Mobley,SG,30,LAC,12,473,9.6,.510,.210,.203,2.7,10.6,7.0,7.4,0.9,0.5,12.9,17.1,,0.1,0.3,0.4,.043,,-1.6,-0.6,-2.1,0.0,moblecu01
119,Nazr Mohammed,C,28,SAS,8,94,21.9,.785,.067,1.200,21.8,20.5,21.1,1.7,1.7,4.8,25.9,16.0,,0.3,0.1,0.4,.222,,0.7,1.1,1.8,0.1,mohamna01
120,Alonzo Mourning*,C,35,MIA,21,226,17.5,.721,.000,1.135,9.4,22.1,16.0,2.2,1.2,8.9,23.5,15.2,,0.4,0.6,1.0,.204,,-1.8,4.4,2.6,0.3,mournal01
121,Lamond Murray,SF,32,NJN,11,197,9.9,.535,.630,.204,5.5,19.1,12.0,1.7,0.8,0.0,4.9,15.0,,0.2,0.2,0.4,.093,,-0.9,-0.8,-1.7,0.0,murrala01
122,Ronald Murray,SG,26,CLE,13,399,7.8,.416,.214,.286,3.3,9.2,6.3,8.8,1.3,0.4,6.7,16.2,,-0.1,0.3,0.2,.025,,-2.9,-0.3,-3.2,-0.1,murraro01
123,Boštjan Nachbar,SF,25,NJN,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.008,,-3.9,0.3,-3.6,0.0,nachbbo01
124,Eduardo Nájera,PF,29,DEN,4,89,-0.4,.254,.000,.286,4.5,16.4,9.6,3.5,1.8,0.0,20.2,9.8,,-0.2,0.1,-0.1,-0.043,,-8.5,0.2,-8.3,-0.1,najered01
125,Steve Nash*,PG,31,PHO,20,798,21.3,.615,.299,.313,1.4,9.4,5.5,40.3,0.5,0.4,16.8,23.5,,2.5,0.1,2.6,.153,,5.2,-1.5,3.7,1.1,nashst01
126,Rasho Nesterović,C,29,SAS,9,114,12.7,.629,.053,.105,8.4,24.3,16.8,1.4,1.0,3.3,9.1,9.3,,0.2,0.1,0.3,.127,,-1.1,1.6,0.4,0.1,nestera01
