Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Arron Afflalo,SG,25,DEN,3,85,7.9,.453,.353,.235,0.0,11.8,5.9,15.3,0.0,0.0,7.4,21.8,,-0.1,0.0,-0.1,-0.030,,-2.1,-0.6,-2.7,0.0,afflaar01
2,LaMarcus Aldridge,PF,25,POR,6,258,19.2,.498,.000,.209,7.9,13.5,10.8,6.4,1.8,3.5,6.7,26.6,,0.3,0.1,0.4,.073,,1.4,-0.5,1.0,0.2,aldrila01
3,Malik Allen,PF,32,ORL,1,7,-5.7,.266,.000,2.000,0.0,17.2,8.5,0.0,0.0,0.0,0.0,12.8,,0.0,0.0,0.0,-0.047,,-12.7,0.0,-12.7,0.0,allenma01
4,Ray Allen*,SG,35,BOS,9,361,19.6,.708,.514,.229,1.8,9.3,5.8,10.5,1.6,0.2,7.7,17.2,,1.3,0.3,1.7,.225,,4.9,2.3,7.1,0.8,allenra02
5,Tony Allen,SG,29,MEM,13,350,10.7,.479,.069,.406,4.8,7.7,6.2,9.3,3.8,1.2,16.8,18.6,,-0.2,0.4,0.2,.030,,-3.1,2.2,-0.9,0.1,allento01
6,Chris Andersen,C,32,DEN,5,73,19.1,.699,.000,1.273,7.6,13.7,10.7,7.0,2.1,8.0,14.9,12.6,,0.2,0.1,0.3,.195,,1.6,4.8,6.4,0.2,anderch01
7,Ryan Anderson,PF,22,ORL,6,147,8.3,.429,.667,.200,8.0,13.9,10.9,3.5,1.9,0.5,3.0,10.9,,0.1,0.2,0.4,.119,,-1.0,0.0,-1.0,0.0,anderry01
8,Carmelo Anthony,SF,26,NYK,4,156,22.5,.505,.295,.386,8.5,23.0,14.9,26.8,1.7,1.4,11.2,32.7,,0.3,0.2,0.5,.149,,6.1,0.5,6.6,0.3,anthoca01
9,Joel Anthony,C,28,MIA,21,575,7.6,.463,.000,.633,7.6,12.7,10.2,2.7,0.8,5.5,17.2,6.4,,0.2,0.8,0.9,.078,,-2.5,1.9,-0.6,0.2,anthojo01
10,Gilbert Arenas,PG,29,ORL,5,81,15.9,.482,.286,.143,5.8,14.9,10.3,35.0,0.7,1.0,11.8,29.7,,0.1,0.1,0.2,.108,,0.1,1.2,1.3,0.1,arenagi01
11,Trevor Ariza,SF,25,NOH,6,241,15.1,.491,.247,.259,3.9,16.7,10.4,15.4,1.9,1.0,6.9,21.1,,0.2,0.1,0.3,.051,,1.2,1.1,2.3,0.3,arizatr01
12,Hilton Armstrong,C,26,ATL,8,35,6.4,.327,.000,1.200,13.9,20.6,17.3,4.3,4.8,0.0,20.7,13.5,,-0.1,0.1,0.0,.016,,-6.1,0.9,-5.2,0.0,armsthi01
13,Darrell Arthur,PF,22,MEM,13,201,14.8,.497,.012,.200,7.8,8.8,8.3,6.4,1.9,5.0,11.5,23.7,,0.0,0.2,0.3,.062,,-1.9,1.0,-0.9,0.1,arthuda01
14,Ömer Aşık,C,24,CHI,15,148,4.3,.431,.000,.769,7.9,17.3,12.5,1.0,0.7,4.2,28.7,7.6,,-0.1,0.2,0.1,.034,,-6.7,0.9,-5.8,-0.1,asikom01
15,J.J. Barea,PG,26,DAL,21,390,16.8,.500,.291,.198,2.6,9.6,6.1,34.3,0.9,0.0,11.0,26.3,,0.6,0.2,0.8,.100,,1.4,-1.1,0.3,0.2,bareajo01
16,Matt Barnes,SF,30,LAL,10,131,9.7,.438,.316,.184,9.9,17.4,13.4,6.3,3.0,1.4,12.7,17.1,,0.0,0.1,0.1,.037,,-3.6,0.2,-3.5,0.0,barnema02
17,Earl Barron,C,29,POR,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-2.8,-1.2,-4.0,0.0,barroea01
18,Brandon Bass,PF,25,ORL,6,139,13.2,.503,.000,.342,10.1,11.3,10.7,2.7,1.2,2.9,13.8,17.4,,0.1,0.2,0.3,.106,,-0.5,0.2,-0.2,0.1,bassbr01
19,Tony Battie,C,34,PHI,5,38,8.2,.444,.000,.286,5.7,23.3,14.4,0.0,0.0,6.6,11.3,11.2,,0.0,0.0,0.0,.026,,-5.1,1.4,-3.7,0.0,battito01
20,Shane Battier,SF,32,MEM,13,339,9.9,.515,.439,.136,5.6,12.2,8.8,6.8,1.1,1.5,7.9,10.2,,0.3,0.2,0.6,.081,,-0.5,1.0,0.5,0.2,battish01
21,Nicolas Batum,SF,22,POR,6,151,10.3,.503,.565,.087,0.8,7.2,4.1,9.4,1.9,3.0,12.8,18.5,,0.0,0.0,0.0,-0.003,,-0.6,0.8,0.2,0.1,batumni01
22,Marco Belinelli,SG,24,NOH,6,173,6.5,.448,.413,.063,0.0,3.6,1.9,4.2,1.6,0.0,5.8,19.9,,-0.2,-0.1,-0.3,-0.070,,-2.4,-2.1,-4.6,-0.1,belinma01
23,Mike Bibby,PG,32,MIA,20,415,3.6,.373,.688,.042,1.5,8.8,5.3,9.1,1.5,1.2,14.8,13.5,,-0.6,0.4,-0.2,-0.029,,-4.0,-0.6,-4.6,-0.3,bibbymi01
