Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,82,241.5,33.1,77.5,.426,3.9,10.7,.367,29.1,66.8,.436,18.3,23.8,.768,10.9,29.3,40.2,16.9,7.2,5.1,15.1,23.1,88.4
2,Detroit Pistons*,82,243.4,34.0,79.2,.430,5.0,14.8,.338,29.0,64.4,.451,16.4,21.8,.751,11.3,28.3,39.6,19.7,7.4,4.5,13.8,22.6,89.5
3,Houston Rockets*,82,242.1,33.2,78.3,.423,5.5,16.4,.338,27.6,62.0,.446,19.2,25.8,.742,10.9,29.8,40.7,20.7,7.4,4.1,13.3,21.6,91.0
4,Memphis Grizzlies*,82,240.3,32.7,75.8,.432,5.2,14.8,.351,27.5,61.0,.452,20.5,26.6,.771,12.1,29.1,41.2,19.9,7.5,5.8,15.9,22.6,91.1
5,Indiana Pacers*,82,242.7,33.8,76.6,.440,4.8,13.1,.365,29.0,63.6,.456,20.0,26.9,.743,11.9,29.5,41.3,18.8,6.7,4.9,13.9,23.0,92.2
6,New Jersey Nets*,82,242.7,33.0,75.2,.439,5.9,16.1,.368,27.1,59.1,.459,20.9,28.1,.744,10.7,30.5,41.2,20.3,7.3,4.9,15.6,22.9,92.9
7,Chicago Bulls*,82,241.8,33.7,79.9,.422,5.1,15.2,.334,28.6,64.7,.443,20.9,28.1,.744,11.9,30.8,42.7,20.9,8.4,5.3,15.5,23.3,93.4
8,Miami Heat*,82,243.7,34.9,81.8,.427,5.4,15.5,.348,29.6,66.3,.446,19.8,26.0,.760,11.2,29.2,40.5,19.8,7.5,3.2,13.2,24.6,95.0
9,Minnesota Timberwolves,82,240.9,36.2,82.6,.438,5.7,15.7,.363,30.5,66.9,.456,17.2,22.9,.752,12.6,28.8,41.4,21.7,6.6,3.9,11.7,19.9,95.3
10,New Orleans Hornets,82,243.0,34.7,76.8,.452,6.0,16.4,.367,28.7,60.4,.475,20.0,25.9,.775,11.5,30.3,41.9,21.2,7.7,5.5,14.2,21.1,95.5
11,Cleveland Cavaliers,82,242.1,35.5,78.6,.452,5.1,13.7,.376,30.4,64.9,.468,19.5,26.0,.750,11.4,28.3,39.8,21.2,6.7,5.1,14.8,21.6,95.7
12,Los Angeles Clippers,82,244.3,35.8,80.7,.444,5.9,16.1,.368,29.9,64.6,.462,19.0,24.9,.762,12.0,27.5,39.5,21.1,7.8,4.8,13.7,23.6,96.5
13,Seattle SuperSonics*,82,240.9,35.8,77.8,.459,5.7,16.1,.357,30.0,61.8,.486,19.4,25.9,.749,11.3,26.5,37.9,20.7,6.2,4.8,13.2,23.8,96.6
14,Dallas Mavericks*,82,240.6,35.9,81.9,.438,5.5,16.7,.330,30.4,65.2,.466,19.5,25.9,.754,13.1,30.1,43.2,20.9,7.1,4.9,15.6,23.2,96.8
15,Portland Trail Blazers,82,240.6,37.3,83.4,.447,5.4,15.6,.343,31.9,67.8,.471,17.0,22.6,.755,14.0,28.2,42.2,23.5,8.5,5.0,13.4,20.4,96.9
16,Utah Jazz,82,241.2,33.3,72.7,.458,5.9,15.8,.375,27.4,56.9,.481,24.7,32.4,.764,10.5,27.2,37.7,19.4,7.9,5.8,14.4,25.1,97.3
17,Denver Nuggets*,82,240.9,36.0,80.6,.447,5.6,16.4,.345,30.3,64.2,.472,19.9,26.7,.746,11.9,29.8,41.7,21.7,7.8,5.6,16.4,23.9,97.5
18,New York Knicks,82,242.4,36.6,78.7,.465,5.7,15.6,.364,30.9,63.1,.490,20.9,27.6,.756,11.8,29.9,41.7,20.7,7.3,4.7,14.6,21.2,99.7
19,Philadelphia 76ers*,82,242.1,35.7,80.7,.443,6.9,19.0,.362,28.8,61.7,.468,21.5,28.0,.767,11.6,32.5,44.1,22.9,8.3,4.7,17.0,23.5,99.9
20,Milwaukee Bucks,82,241.2,37.8,81.4,.464,5.6,16.5,.343,32.1,65.0,.494,19.0,24.7,.771,11.4,29.4,40.8,23.8,7.5,4.5,13.0,23.8,100.2
21,Charlotte Bobcats,82,242.4,36.8,79.4,.463,5.4,14.9,.361,31.4,64.4,.487,21.3,27.8,.767,11.7,31.5,43.2,21.6,7.6,5.4,15.8,22.7,100.2
22,Boston Celtics*,82,242.4,36.1,81.3,.444,6.0,16.7,.356,30.1,64.6,.467,22.3,29.5,.753,12.7,29.6,42.3,22.7,8.7,4.9,15.6,23.6,100.4
23,Washington Wizards*,82,241.2,37.8,82.3,.459,6.4,17.5,.364,31.4,64.8,.485,18.9,24.8,.762,12.4,30.6,43.0,23.0,7.1,5.0,15.9,24.3,100.8
24,Golden State Warriors,82,242.7,38.2,83.4,.458,5.5,15.1,.363,32.7,68.3,.479,19.0,25.5,.745,12.9,33.8,46.7,22.7,7.0,5.1,15.3,21.7,100.9
25,Toronto Raptors,82,241.5,38.2,81.8,.467,5.3,14.9,.356,32.9,66.9,.492,19.6,26.4,.744,12.1,33.2,45.3,22.1,6.2,4.4,14.4,21.9,101.4
26,Sacramento Kings*,82,242.1,38.9,84.6,.459,5.7,16.1,.357,33.1,68.6,.483,18.1,24.5,.738,13.4,30.9,44.3,21.5,7.6,4.5,14.7,21.5,101.6
27,Los Angeles Lakers,82,241.2,38.3,84.5,.453,6.7,18.6,.361,31.6,65.9,.479,18.4,23.5,.780,12.5,29.9,42.4,24.4,7.6,5.1,11.8,22.1,101.7
28,Orlando Magic,82,240.3,37.6,83.2,.451,5.4,15.7,.343,32.2,67.5,.477,21.2,28.1,.754,12.5,29.6,42.1,21.3,8.5,4.3,14.5,23.4,101.8
