,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Marcus Smart,27,BOS,37.0,257.0,500,0.514,71,32.3,12.1,3.8,5.9,1.7,0.3,.418,.331,.793,5.6,.116,3.7,1.7,107,smartma01
2,Mikal Bridges,25,PHO,22.0,202.0,500,0.404,82,34.8,14.2,4.2,2.3,1.2,0.4,.534,.369,.834,8.9,.150,3.7,1.1,110,bridgmi01
3,Rudy Gobert,29,UTA,12.0,136.0,500,0.272,66,32.1,15.6,14.7,1.1,0.7,2.1,.713,.000,.690,11.7,.264,4.3,1.7,103,goberru01
4,Bam Adebayo,24,MIA,13.0,128.0,500,0.256,56,32.6,19.1,10.1,3.4,1.4,0.8,.557,.000,.753,7.2,.188,3.5,2.1,104,adebaba01
5,Jaren Jackson Jr.,22,MEM,10.0,99.0,500,0.198,78,27.3,16.3,5.8,1.1,0.9,2.3,.415,.319,.823,5.4,.121,3.7,0.8,106,jacksja02
6,Giannis Antetokounmpo,27,MIL,5.0,58.0,500,0.116,67,32.9,29.9,11.6,5.8,1.1,1.4,.553,.293,.722,12.9,.281,3.7,3.5,106,antetgi01
7,Robert Williams,24,BOS,1.0,8.0,500,0.016,61,29.6,10.0,9.6,2.0,0.9,2.2,.736,.000,.722,9.9,.262,3.9,3.1,102,williro04
8,Jrue Holiday,31,MIL,0.0,6.0,500,0.012,67,33.0,18.3,4.5,6.8,1.6,0.4,.501,.411,.761,6.9,.150,2.4,0.3,112,holidjr01
9,Al Horford,35,BOS,0.0,3.0,500,0.006,69,29.1,10.2,7.7,3.4,0.7,1.3,.467,.336,.842,7.6,.181,3.8,2.9,104,horfoal01
10,Draymond Green,31,GSW,0.0,2.0,500,0.004,46,28.9,7.5,7.3,7.0,1.3,1.1,.525,.296,.659,3.6,.131,2.8,4.6,103,greendr01
11,Matisse Thybulle,24,PHI,0.0,1.0,500,0.002,66,25.5,5.7,2.3,1.1,1.7,1.1,.500,.313,.791,3.7,.107,2.5,3.3,108,thybuma01
