,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Rudy Gobert,28,UTA,84.0,464.0,500,0.928,71,30.8,14.3,13.5,1.3,0.6,2.7,.675,.000,.623,11.3,.248,5.2,2.8,101,goberru01
2,Ben Simmons,24,PHI,15.0,287.0,500,0.574,58,32.4,14.3,7.2,6.9,1.6,0.6,.557,.300,.613,6.0,.153,3.3,2.2,106,simmobe01
3,Draymond Green,30,GSW,0.0,76.0,500,0.152,63,31.5,7.0,7.1,8.9,1.7,0.8,.447,.270,.795,4.6,.112,3.4,3.3,106,greendr01
4,Bam Adebayo,23,MIA,1.0,31.0,500,0.062,64,33.5,18.7,9.0,5.4,1.2,1.0,.570,.250,.799,8.8,.197,3.2,2.0,108,adebaba01
5,Giannis Antetokounmpo,26,MIL,0.0,12.0,500,0.024,61,33.0,28.1,11.0,5.9,1.2,1.2,.569,.303,.685,10.2,.244,3.3,2.8,107,antetgi01
6,Clint Capela,26,ATL,0.0,10.0,500,0.020,63,30.1,15.2,14.3,0.8,0.7,2.0,.594,,.573,8.2,.207,3.3,0.0,106,capelca01
7,Joel Embiid,26,PHI,0.0,7.0,500,0.014,51,31.1,28.5,10.6,2.8,1.0,1.4,.513,.377,.859,8.8,.266,3.2,1.2,104,embiijo01
8,Jrue Holiday,30,MIL,0.0,6.0,500,0.012,59,32.3,17.7,4.5,6.1,1.6,0.6,.503,.392,.787,6.6,.165,2.2,0.6,111,holidjr01
9,Myles Turner,24,IND,0.0,3.0,500,0.006,47,31.0,12.6,6.5,1.0,0.9,3.4,.477,.335,.782,3.3,.110,2.2,2.0,108,turnemy01
10,Jimmy Butler,31,MIA,0.0,2.0,500,0.004,52,33.6,21.5,6.9,7.1,2.1,0.3,.497,.245,.863,9.3,.255,2.7,2.3,108,butleji01
11T,Kentavious Caldwell-Pope,27,LAL,0.0,1.0,500,0.002,67,28.4,9.7,2.7,1.9,0.9,0.4,.431,.410,.866,4.2,.107,2.6,1.0,109,caldwke01
11T,Matisse Thybulle,23,PHI,0.0,1.0,500,0.002,65,20.0,3.9,1.9,1.0,1.6,1.1,.420,.301,.444,2.8,.102,2.7,4.5,103,thybuma01
