,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Kevin Garnett,31,BOS,90.0,493.0,620,0.795,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265,6.2,3.5,94,garneke01
2,Marcus Camby,33,DEN,12.0,178.0,620,0.287,79,34.9,9.1,13.1,3.3,1.1,3.6,.450,.300,.708,8.5,.148,5.9,3.3,98,cambyma01
3,Shane Battier,29,HOU,11.0,175.0,620,0.282,80,36.3,9.3,5.1,1.9,1.0,1.1,.428,.377,.743,8.2,.135,4.6,1.9,103,battish01
4,Bruce Bowen,36,SAS,7.0,80.0,620,0.129,81,30.2,6.0,2.9,1.1,0.7,0.3,.407,.419,.652,4.4,.085,3.4,1.5,105,bowenbr01
5,Kobe Bryant,29,LAL,0.0,40.0,620,0.065,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,.361,.840,13.8,.208,4.3,0.6,105,bryanko01
6,Josh Smith,22,ATL,1.0,34.0,620,0.055,81,35.5,17.2,8.2,3.4,1.5,2.8,.457,.253,.710,5.8,.097,4.6,2.5,103,smithjo03
7T,Dwight Howard,22,ORL,1.0,24.0,620,0.039,82,37.7,20.7,14.2,1.3,0.9,2.1,.599,.000,.590,12.9,.200,6.4,1.2,99,howardw01
7T,Chris Paul,22,NOH,1.0,24.0,620,0.039,80,37.6,21.1,4.0,11.6,2.7,0.1,.488,.369,.851,17.8,.284,4.6,3.2,103,paulch01
9,Tim Duncan,31,SAS,0.0,22.0,620,0.035,78,34.0,19.3,11.3,2.8,0.7,1.9,.497,.000,.730,11.1,.201,6.2,2.2,97,duncati01
10,Tayshaun Prince,27,DET,0.0,13.0,620,0.021,82,32.9,13.2,4.9,3.3,0.5,0.4,.448,.363,.768,7.5,.133,3.2,-0.1,106,princta01
11,Tyson Chandler,25,NOH,1.0,10.0,620,0.016,79,35.2,11.8,11.7,1.0,0.6,1.1,.623,.000,.593,10.0,.172,4.1,-0.2,104,chandty01
12,Rasheed Wallace,33,DET,0.0,9.0,620,0.015,77,30.5,12.7,6.6,1.8,1.2,1.7,.432,.356,.767,7.6,.155,5.1,2.6,98,wallara01
13T,Raja Bell,31,PHO,0.0,3.0,620,0.005,75,35.3,11.9,3.7,2.2,0.7,0.4,.421,.401,.868,4.5,.082,1.5,-0.5,111,bellra01
13T,Samuel Dalembert,26,PHI,0.0,3.0,620,0.005,82,33.2,10.5,10.4,0.5,0.5,2.3,.513,.000,.707,6.9,.121,4.3,0.5,103,dalemsa01
13T,Richard Hamilton,29,DET,0.0,3.0,620,0.005,72,33.7,17.3,3.3,4.2,1.0,0.1,.484,.440,.833,7.7,.152,2.9,0.1,106,hamilri01
16T,Chauncey Billups,31,DET,0.0,1.0,620,0.002,78,32.3,17.0,2.7,6.8,1.3,0.2,.448,.401,.918,13.5,.257,3.4,1.2,105,billuch01
16T,Andrei Kirilenko,26,UTA,0.0,1.0,620,0.002,72,30.8,11.0,4.7,4.0,1.2,1.5,.506,.379,.770,7.1,.154,2.8,2.0,105,kirilan01
16T,Kyle Lowry,21,MEM,0.0,1.0,620,0.002,82,25.5,9.6,3.0,3.6,1.1,0.3,.432,.257,.698,3.4,.078,1.3,0.3,111,lowryky01
16T,Rajon Rondo,21,BOS,0.0,1.0,620,0.002,77,29.9,10.6,4.2,5.1,1.7,0.2,.492,.263,.611,7.2,.150,4.9,2.6,98,rondora01
16T,Metta World Peace,28,SAC,0.0,1.0,620,0.002,57,38.1,20.5,5.8,3.5,2.3,0.7,.453,.380,.719,4.7,.103,2.2,0.7,108,artesro01
