,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Ben Wallace,31,DET,58.0,420.0,620,0.677,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168,6.9,3.1,95,wallabe01
2,Bruce Bowen,34,SAS,38.0,308.0,620,0.497,82,33.6,7.5,3.9,1.5,1.0,0.4,.433,.424,.607,6.2,.108,4.5,2.0,101,bowenbr01
3,Andrei Kirilenko,24,UTA,12.0,121.0,620,0.195,69,37.7,15.3,8.0,4.3,1.5,3.2,.460,.308,.699,7.9,.145,4.3,3.1,101,kirilan01
4,Metta World Peace,26,TOT,6.0,65.0,620,0.105,56,39.4,17.6,5.1,3.6,2.2,0.7,.404,.308,.675,3.7,.081,3.2,1.3,103,artesro01
5,Marcus Camby,31,DEN,3.0,55.0,620,0.089,56,33.2,12.8,11.9,2.1,1.4,3.3,.465,.091,.712,5.5,.141,4.5,3.3,95,cambyma01
6,Tim Duncan,29,SAS,3.0,42.0,620,0.068,80,34.8,18.6,11.0,3.2,0.9,2.0,.484,.400,.629,10.8,.187,6.9,2.6,94,duncati01
7,Shawn Marion,27,PHO,0.0,33.0,620,0.053,81,40.3,21.8,11.8,1.8,2.0,1.7,.525,.331,.809,14.6,.214,5.9,1.3,100,mariosh01
8,Alonzo Mourning,35,MIA,4.0,29.0,620,0.047,65,20.0,7.8,5.5,0.2,0.2,2.7,.597,.000,.594,4.8,.176,2.6,2.5,98,mournal01
9,Gerald Wallace,23,CHA,0.0,27.0,620,0.044,55,34.5,15.2,7.5,1.7,2.5,2.1,.538,.280,.614,6.4,.163,3.4,2.9,100,wallage01
10T,Shane Battier,27,MEM,0.0,3.0,620,0.005,81,35.0,10.1,5.3,1.7,1.1,1.4,.488,.394,.707,9.1,.153,4.5,1.8,102,battish01
10T,Elton Brand,26,LAC,0.0,3.0,620,0.005,79,39.2,24.7,10.0,2.6,1.0,2.5,.527,.333,.775,14.8,.229,5.5,1.6,100,brandel01
12,Andre Iguodala,22,PHI,0.0,2.0,620,0.003,82,37.6,12.3,5.9,3.1,1.6,0.3,.500,.354,.754,7.5,.116,2.6,0.4,108,iguodan01
13T,Raja Bell,29,PHO,0.0,1.0,620,0.002,79,37.5,14.7,3.2,2.6,1.0,0.3,.457,.442,.788,6.8,.110,2.1,0.1,109,bellra01
13T,P.J. Brown,36,NOK,0.0,1.0,620,0.002,75,31.7,9.0,7.3,1.2,0.6,0.7,.461,,.827,4.4,.088,2.3,-0.2,107,brownpj01
13T,Kevin Garnett,29,MIN,0.0,1.0,620,0.002,76,38.9,21.8,12.7,4.1,1.4,1.4,.526,.267,.810,14.9,.242,5.9,2.2,98,garneke01
13T,Eddie Jones,34,MEM,0.0,1.0,620,0.002,75,32.5,11.8,3.7,2.4,1.7,0.4,.404,.356,.781,7.2,.141,4.2,2.3,100,jonesed02
13T,Andrés Nocioni,26,CHI,0.0,1.0,620,0.002,82,27.3,13.0,6.1,1.4,0.5,0.6,.461,.391,.843,6.7,.144,3.4,0.9,102,nocioan01
13T,James Posey,29,MIA,0.0,1.0,620,0.002,67,28.6,7.2,4.8,1.3,0.8,0.3,.403,.403,.787,4.2,.104,2.4,1.0,105,poseyja01
13T,Tayshaun Prince,25,DET,0.0,1.0,620,0.002,82,35.3,14.1,4.2,2.3,0.8,0.5,.455,.350,.765,7.0,.115,3.0,-0.2,106,princta01
13T,Rasheed Wallace,31,DET,0.0,1.0,620,0.002,80,34.8,15.1,6.8,2.3,1.0,1.6,.430,.357,.743,8.9,.154,4.9,1.9,100,wallara01
