Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,6,244.2,42.2,89.2,.473,13.5,37.5,.360,28.7,51.7,.555,19.2,26.5,.723,7.7,35.5,43.2,21.5,6.5,3.7,12.7,22.5,117.0
2,Los Angeles Clippers,13,241.9,40.9,86.4,.474,12.1,32.8,.368,28.8,53.5,.539,20.1,25.2,.798,9.5,34.5,44.0,21.2,7.5,3.7,13.0,22.9,114.0
3,Utah Jazz,7,243.6,39.9,81.9,.487,15.7,37.3,.421,24.1,44.6,.542,18.0,23.3,.773,9.3,31.9,41.1,21.4,6.1,3.1,12.0,19.0,113.4
4,Los Angeles Lakers,21,240.0,41.0,84.0,.489,12.1,34.2,.354,29.0,49.8,.581,18.6,24.6,.758,10.6,33.5,44.1,25.6,8.0,5.3,15.4,22.7,112.8
5,Milwaukee Bucks,10,242.5,40.1,87.1,.460,13.3,37.1,.358,26.8,50.0,.536,17.6,24.3,.724,9.4,37.3,46.7,24.3,7.2,4.2,14.9,21.7,111.1
6,Miami Heat,21,242.4,37.7,82.0,.460,12.8,35.5,.359,25.0,46.5,.536,21.8,26.4,.825,7.8,33.6,41.3,24.9,6.9,3.9,13.2,19.9,110.0
7,Boston Celtics,17,244.4,38.6,84.9,.454,12.4,36.4,.341,26.2,48.5,.539,19.8,24.2,.816,8.8,36.5,45.2,22.6,6.7,4.8,13.9,22.3,109.4
8,Toronto Raptors,11,244.5,39.1,88.5,.442,14.6,40.3,.363,24.5,48.2,.508,16.5,21.3,.778,8.2,36.5,44.6,24.8,7.1,5.5,13.1,22.5,109.4
9,Houston Rockets,12,242.1,37.4,85.8,.436,16.9,46.8,.362,20.5,39.0,.526,15.9,20.2,.789,6.7,32.2,38.8,21.3,9.1,3.5,13.4,22.2,107.7
10,Denver Nuggets,19,241.3,38.8,82.5,.471,12.3,32.4,.379,26.6,50.2,.530,17.5,21.4,.816,9.3,31.4,40.6,22.5,6.2,4.0,13.9,22.4,107.4
11,Orlando Magic,5,240.0,37.2,88.6,.420,15.0,39.8,.377,22.2,48.8,.455,17.6,21.0,.838,6.6,36.4,43.0,23.8,6.8,3.2,14.6,21.0,107.0
12,Portland Trail Blazers,5,240.0,37.6,88.2,.426,11.6,30.6,.379,26.0,57.6,.451,19.8,25.0,.792,9.8,33.0,42.8,17.8,7.4,3.6,16.0,25.0,106.6
13,Brooklyn Nets,4,240.0,36.3,91.3,.397,15.5,46.0,.337,20.8,45.3,.459,17.8,24.5,.724,9.3,35.0,44.3,25.8,5.0,4.5,14.5,21.3,105.8
14,Oklahoma City Thunder,7,243.6,36.7,85.4,.430,12.0,36.6,.328,24.7,48.9,.506,18.6,24.0,.774,9.0,40.9,49.9,17.9,5.3,4.0,17.0,17.1,104.0
15,Indiana Pacers,4,240.0,36.5,80.3,.455,12.0,32.0,.375,24.5,48.3,.508,15.8,20.3,.778,5.8,30.8,36.5,22.5,9.3,5.5,15.3,23.3,100.8
16,Philadelphia 76ers,4,240.0,33.3,84.0,.396,8.0,30.3,.264,25.3,53.8,.470,26.0,32.0,.813,12.3,33.8,46.0,17.5,5.0,4.5,12.0,22.3,100.5
,League Average,10,242.1,38.8,85.0,.457,13.1,36.3,.360,25.8,48.7,.529,18.8,23.9,.788,8.8,34.3,43.2,22.9,7.0,4.3,14.0,21.8,109.6
