Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Portland Trail Blazers,6,248.3,42.0,88.3,.475,16.2,39.2,.413,25.8,49.2,.525,19.3,22.7,.853,9.3,32.3,41.7,22.8,5.2,5.5,11.8,23.2,119.5
2,Utah Jazz,11,240.0,39.7,84.2,.472,18.0,43.6,.413,21.7,40.5,.536,19.5,24.3,.801,9.4,33.0,42.4,19.6,5.2,4.1,13.5,21.5,116.9
3,Philadelphia 76ers,12,240.0,42.5,85.8,.496,11.2,28.4,.393,31.3,57.3,.547,20.1,29.3,.685,9.0,35.7,44.7,24.9,8.0,6.2,12.8,23.0,116.3
4,Memphis Grizzlies,5,240.0,44.2,94.4,.468,10.4,31.6,.329,33.8,62.8,.538,16.2,20.4,.794,11.2,30.0,41.2,22.0,8.0,4.0,10.4,20.6,115.0
5,Denver Nuggets,10,245.0,42.1,92.2,.457,14.7,38.5,.382,27.4,53.7,.510,15.9,20.9,.761,11.7,31.9,43.6,24.9,6.1,4.3,11.2,20.4,114.8
6,Brooklyn Nets,12,242.1,40.7,86.2,.472,13.6,35.6,.382,27.1,50.6,.535,17.6,20.3,.868,8.3,34.3,42.6,22.6,7.1,4.8,11.6,21.2,112.5
7,Boston Celtics,5,240.0,38.4,88.2,.435,12.8,36.6,.350,25.6,51.6,.496,22.6,27.4,.825,12.6,28.8,41.4,21.0,6.4,7.0,13.0,21.0,112.2
8,Los Angeles Clippers,19,240.0,39.1,81.9,.477,13.8,36.4,.381,25.3,45.6,.554,19.5,23.7,.823,8.8,32.4,41.2,20.8,6.8,4.3,10.7,19.5,111.6
9,Milwaukee Bucks,23,242.2,42.1,91.1,.462,11.2,35.0,.321,30.9,56.1,.550,14.9,20.8,.718,12.8,36.1,49.0,22.8,7.8,4.2,12.7,18.0,110.3
10,Washington Wizards,5,240.0,40.6,88.6,.458,7.0,24.2,.289,33.6,64.4,.522,21.8,29.0,.752,10.6,32.8,43.4,22.4,4.8,4.8,13.4,24.0,110.0
11,Phoenix Suns,22,240.0,40.9,85.0,.481,11.2,29.7,.376,29.7,55.3,.537,16.0,18.6,.861,8.0,34.7,42.7,23.2,6.5,4.2,11.9,19.7,109.0
12,Atlanta Hawks,18,240.0,38.9,86.8,.449,11.7,34.2,.343,27.2,52.6,.517,16.7,20.9,.798,9.1,33.3,42.4,20.2,6.7,4.4,12.4,21.2,106.3
13,Dallas Mavericks,7,240.0,39.1,86.0,.455,13.6,35.0,.388,25.6,51.0,.501,14.1,20.0,.707,10.3,30.3,40.6,20.7,5.6,2.1,11.0,20.3,106.0
14,Miami Heat,4,246.3,35.3,89.3,.395,12.0,35.8,.336,23.3,53.5,.435,15.5,20.3,.765,9.0,33.3,42.3,21.5,7.3,3.5,14.0,20.5,98.0
15,Los Angeles Lakers,6,240.0,34.3,83.0,.414,9.8,32.8,.299,24.5,50.2,.488,19.0,24.5,.776,10.5,32.7,43.2,19.3,6.7,4.0,13.8,20.5,97.5
16,New York Knicks,5,240.0,34.4,86.4,.398,10.4,30.4,.342,24.0,56.0,.429,17.8,21.8,.817,11.8,34.6,46.4,18.6,5.8,2.8,12.2,19.8,97.0
,League Average,11,241.2,40.2,86.9,.462,12.5,34.3,.364,27.7,52.6,.527,17.5,22.2,.786,9.9,33.5,43.4,22.0,6.7,4.4,12.2,20.5,110.3
