Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,6,240.0,37.3,78.5,.476,6.5,18.2,.358,30.8,60.3,.511,28.2,36.8,.765,10.3,29.3,39.7,19.2,8.2,4.7,13.7,30.8,109.3
2,Phoenix Suns,16,240.0,38.0,79.6,.477,9.4,24.4,.384,28.6,55.2,.519,21.8,28.1,.773,10.7,29.4,40.1,20.8,5.9,4.1,12.6,22.4,107.1
3,Utah Jazz,10,240.0,38.1,79.5,.479,6.5,17.4,.374,31.6,62.1,.509,24.4,33.5,.728,10.9,28.7,39.6,23.8,5.9,4.4,13.2,27.0,107.1
4,Los Angeles Lakers,23,240.0,37.3,81.2,.460,6.8,20.7,.330,30.5,60.5,.505,19.6,26.0,.754,12.8,30.1,42.9,19.7,6.7,6.2,12.5,23.2,101.1
5,Cleveland Cavaliers,11,240.0,34.9,74.5,.469,7.2,20.6,.348,27.7,53.8,.515,23.2,31.3,.741,8.6,31.1,39.7,21.1,6.1,6.6,14.9,21.9,100.2
6,Chicago Bulls,5,240.0,37.8,86.2,.439,3.2,10.8,.296,34.6,75.4,.459,18.2,22.8,.798,10.8,30.2,41.0,19.0,5.8,3.0,10.0,21.4,97.0
7,Orlando Magic,14,241.8,32.8,70.8,.463,9.9,26.9,.366,22.9,43.9,.523,21.1,30.1,.701,9.3,31.1,40.4,16.9,6.4,5.5,13.7,22.4,96.6
8,San Antonio Spurs,10,240.0,36.4,78.5,.464,4.8,14.2,.338,31.6,64.3,.491,18.5,26.6,.695,10.1,31.0,41.1,19.2,6.8,4.3,12.7,21.0,96.1
9,Boston Celtics,24,241.0,34.3,75.7,.453,5.8,16.0,.363,28.5,59.7,.477,19.5,25.8,.755,8.8,30.3,39.1,21.1,8.0,4.6,13.9,24.6,93.9
10,Oklahoma City Thunder,6,240.0,30.7,78.5,.391,5.5,18.5,.297,25.2,60.0,.419,27.0,32.3,.835,11.7,31.7,43.3,16.2,6.5,6.2,12.5,22.8,93.8
11,Portland Trail Blazers,6,240.0,33.0,76.8,.430,6.3,16.7,.380,26.7,60.2,.443,20.7,28.0,.738,10.8,26.5,37.3,19.5,6.0,4.3,11.0,23.2,93.0
12,Dallas Mavericks,6,240.0,34.0,79.3,.429,6.3,19.3,.328,27.7,60.0,.461,18.5,23.3,.793,12.0,31.8,43.8,18.5,7.5,5.0,13.0,22.5,92.8
13,Milwaukee Bucks,7,240.0,33.7,79.6,.424,6.6,21.3,.309,27.1,58.3,.466,16.0,19.9,.806,11.1,28.0,39.1,16.3,6.3,3.3,12.4,21.0,90.0
14,Atlanta Hawks,11,240.0,33.8,79.6,.425,4.5,13.6,.333,29.3,66.0,.444,17.3,22.0,.785,13.0,26.9,39.9,16.4,6.4,5.1,11.7,21.2,89.5
15,Miami Heat,5,240.0,33.6,77.2,.435,6.8,18.2,.374,26.8,59.0,.454,13.6,18.6,.731,9.4,28.2,37.6,17.6,7.0,5.0,17.8,22.8,87.6
16,Charlotte Bobcats,4,240.0,31.3,70.5,.443,4.8,17.0,.279,26.5,53.5,.495,18.3,25.5,.716,8.5,28.0,36.5,20.3,5.5,4.5,15.5,26.8,85.5
,League Average,10,240.3,35.2,77.8,.453,6.6,19.0,.349,28.6,58.8,.486,20.4,27.1,.752,10.6,29.7,40.3,19.4,6.7,5.0,13.1,23.3,97.5
