Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Arron Afflalo,SG,22,DET,12,0,7.0,0.6,1.5,.389,0.0,0.2,.000,0.6,1.3,.438,.389,0.0,0.0,,0.0,0.4,0.4,0.5,0.3,0.0,0.1,0.4,1.2,afflaar01
2,Malik Allen,PF,29,DAL,3,0,6.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,allenma01
3,Ray Allen*,SG,32,BOS,26,26,38.0,5.1,12.0,.428,2.1,5.3,.396,3.0,6.6,.453,.516,3.2,3.5,.913,1.0,2.8,3.8,2.7,0.9,0.3,1.5,2.4,15.6,allenra02
4,Tony Allen,SG,26,BOS,15,0,4.3,0.6,1.1,.563,0.0,0.1,.000,0.6,1.0,.600,.563,0.1,0.3,.400,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.3,1.3,allento01
5,Rafer Alston,PG,31,HOU,4,4,31.5,5.3,12.0,.438,2.8,6.3,.440,2.5,5.8,.435,.552,1.0,1.3,.800,0.5,1.0,1.5,4.5,1.0,0.0,1.5,1.8,14.3,alstora01
6,Lou Amundson,PF,25,PHI,2,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.5,1.0,.500,2.5,1.0,3.5,0.0,0.0,0.0,0.0,1.0,2.5,amundlo01
7,Carmelo Anthony,SF,23,DEN,4,4,36.5,8.0,22.0,.364,0.5,2.0,.250,7.5,20.0,.375,.375,6.0,7.3,.828,4.8,4.8,9.5,2.0,0.5,0.3,3.0,4.3,22.5,anthoca01
8,Gilbert Arenas,PG,26,WAS,4,2,23.5,3.5,9.0,.389,1.3,3.0,.417,2.3,6.0,.375,.458,2.5,3.0,.833,0.0,1.8,1.8,2.8,0.5,0.0,2.0,3.3,10.8,arenagi01
9,Trevor Ariza,SF,22,LAL,8,0,5.6,0.9,1.5,.583,0.1,0.5,.250,0.8,1.0,.750,.625,0.3,0.5,.500,0.4,1.0,1.4,0.1,0.1,0.1,0.1,0.9,2.1,arizatr01
10,Hilton Armstrong,C,23,NOH,8,0,9.0,1.0,1.6,.615,0.0,0.0,,1.0,1.6,.615,.615,0.6,1.3,.500,1.1,1.4,2.5,0.0,0.0,0.8,0.5,1.5,2.6,armsthi01
11,Carlos Arroyo,PG,28,ORL,4,0,7.5,0.5,1.0,.500,0.0,0.3,.000,0.5,0.8,.667,.500,0.5,0.5,1.000,0.0,0.5,0.5,1.0,0.0,0.0,0.8,1.0,1.5,arroyca01
12,Chucky Atkins,SG,33,DEN,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,atkinch01
13,James Augustine,PF,23,ORL,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,augusja01
