,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Mike Miller,25,MEM,88.0,501.0,615,0.815,74,30.6,13.7,5.4,2.7,0.7,0.4,.466,.407,.800,7.4,.157,millemi01
2,Speedy Claxton,27,NOK,14.0,205.0,615,0.333,71,28.4,12.3,2.7,4.8,1.5,0.1,.413,.270,.769,3.0,.072,claxtsp01
3,Jerry Stackhouse,31,DAL,12.0,162.0,615,0.263,55,27.7,13.0,2.8,2.9,0.7,0.2,.401,.277,.882,2.4,.076,stackje01
4,Antonio McDyess,31,DET,5.0,77.0,615,0.125,82,21.1,7.8,5.3,1.1,0.6,0.6,.509,.000,.557,4.6,.128,mcdyean01
5,Earl Boykins,29,DEN,0.0,34.0,615,0.055,60,25.7,12.6,1.4,3.8,0.8,0.1,.410,.346,.874,2.9,.090,boykiea01
6,Alonzo Mourning,35,MIA,1.0,27.0,615,0.044,65,20.0,7.8,5.5,0.2,0.2,2.7,.597,.000,.594,4.8,.176,mournal01
7,Leandro Barbosa,23,PHO,1.0,24.0,615,0.039,57,27.9,13.1,2.6,2.8,0.8,0.1,.481,.444,.755,3.8,.115,barbole01
8,Mo Williams,23,MIL,1.0,19.0,615,0.031,58,26.4,12.1,2.5,4.0,0.9,0.1,.424,.382,.850,2.5,.079,willima01
9,Michael Finley,32,SAS,0.0,10.0,615,0.016,77,26.5,10.1,3.2,1.5,0.5,0.1,.412,.394,.852,5.0,.117,finlemi01
10,Shareef Abdur-Rahim,29,SAC,1.0,8.0,615,0.013,72,27.2,12.3,5.0,2.1,0.7,0.6,.525,.227,.784,6.2,.152,abdursh01
11T,Channing Frye,22,NYK,0.0,6.0,615,0.010,65,24.2,12.3,5.8,0.8,0.5,0.7,.477,.333,.825,3.5,.108,fryech01
11T,Antoine Walker,29,MIA,0.0,6.0,615,0.010,82,26.8,12.2,5.1,2.0,0.6,0.4,.435,.358,.628,3.6,.080,walkean02
13,Eddie House,27,PHO,0.0,5.0,615,0.008,81,17.5,9.8,1.6,1.8,0.5,0.1,.422,.389,.805,1.6,.054,houseed01
14T,Jamal Crawford,25,NYK,0.0,4.0,615,0.007,79,32.3,14.3,3.1,3.8,1.1,0.2,.416,.345,.826,4.5,.084,crawfja01
14T,Clifford Robinson,39,NJN,0.0,4.0,615,0.007,80,23.3,6.9,3.3,1.1,0.6,0.5,.427,.343,.658,2.8,.073,robincl02
16T,Derek Fisher,31,GSW,0.0,3.0,615,0.005,82,31.6,13.3,2.6,4.3,1.5,0.1,.410,.397,.833,5.8,.107,fishede01
16T,Danny Granger,22,IND,0.0,3.0,615,0.005,78,22.6,7.5,4.9,1.2,0.7,0.8,.462,.323,.777,5.1,.139,grangda01
16T,Matt Harpring,29,UTA,0.0,3.0,615,0.005,71,27.4,12.5,5.2,1.4,0.8,0.2,.475,.359,.725,4.7,.115,harprma01
16T,Bobby Jackson,32,MEM,0.0,3.0,615,0.005,71,25.0,11.4,3.1,2.7,0.9,0.0,.382,.389,.733,3.5,.095,jacksbo01
20T,Erick Dampier,30,DAL,0.0,1.0,615,0.002,82,23.6,5.7,7.8,0.6,0.3,1.3,.493,,.591,4.8,.119,dampier01
20T,Devin Harris,22,DAL,0.0,1.0,615,0.002,56,22.8,9.9,2.2,3.2,0.9,0.3,.469,.238,.716,3.7,.139,harride01
20T,Charlie Villanueva,21,TOR,0.0,1.0,615,0.002,81,29.1,13.0,6.4,1.1,0.7,0.8,.463,.327,.706,3.9,.079,villach01
