Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers,7,240.0,32.4,82.4,.393,7.1,25.3,.282,25.3,57.1,.443,20.3,26.6,.763,14.7,29.7,44.4,16.1,7.6,4.6,13.9,21.7,92.3
2,San Antonio Spurs,10,240.0,34.9,81.3,.429,6.2,20.1,.308,28.7,61.2,.469,16.9,21.8,.775,12.5,31.1,43.6,18.1,6.9,4.7,15.0,19.9,92.9
3,Miami Heat,14,245.4,34.0,81.9,.415,5.9,18.6,.319,28.1,63.4,.443,19.8,25.4,.778,8.5,30.4,38.9,14.2,7.1,3.4,10.9,19.6,93.7
4,Cleveland Cavaliers,21,240.0,35.3,79.6,.444,10.5,29.7,.353,24.9,49.9,.498,15.0,20.6,.729,8.7,29.3,38.0,20.6,6.3,4.5,13.0,21.0,96.1
5,Los Angeles Clippers,6,240.0,35.3,86.3,.409,10.0,29.7,.337,25.3,56.7,.447,16.7,23.0,.725,14.0,36.8,50.8,21.3,5.7,3.5,13.2,23.8,97.3
6,Toronto Raptors,20,243.8,35.6,77.3,.461,8.2,22.5,.363,27.5,54.8,.501,18.3,23.1,.794,8.7,32.3,41.0,17.6,7.2,4.9,13.8,20.5,97.7
7,Charlotte Hornets,7,240.0,37.9,81.3,.466,8.3,20.4,.406,29.6,60.9,.486,15.1,20.6,.736,9.4,37.7,47.1,19.1,4.1,7.1,12.1,21.6,99.1
8,Boston Celtics,6,244.2,37.0,87.2,.424,9.8,32.0,.307,27.2,55.2,.492,16.7,21.3,.781,8.5,39.0,47.5,22.7,8.0,8.7,14.8,20.0,100.5
9,Atlanta Hawks,10,242.5,36.4,88.0,.414,12.9,34.1,.378,23.5,53.9,.436,15.4,21.0,.733,11.8,34.1,45.9,22.9,7.0,5.5,14.1,20.9,101.1
10,Oklahoma City Thunder,18,240.0,37.9,85.1,.446,9.0,24.3,.371,28.9,60.8,.476,16.2,22.2,.730,9.3,29.8,39.1,21.3,8.2,4.0,12.4,21.2,101.1
11,Memphis Grizzlies,4,240.0,37.0,76.3,.485,10.3,21.8,.471,26.8,54.5,.491,18.8,22.8,.824,8.0,34.0,42.0,21.5,9.8,9.3,13.8,17.5,103.0
12,Golden State Warriors,24,241.0,37.3,86.9,.429,9.2,27.0,.339,28.1,59.9,.469,19.7,27.0,.728,12.5,33.4,45.8,19.7,8.5,5.2,14.8,22.1,103.3
13,Detroit Pistons,4,240.0,38.5,83.5,.461,14.3,34.5,.413,24.3,49.0,.495,12.3,16.8,.731,10.0,31.0,41.0,22.0,5.8,2.5,8.5,20.3,103.5
14,Portland Trail Blazers,11,242.3,39.7,87.2,.456,8.9,24.8,.359,30.8,62.4,.494,19.2,27.2,.706,11.3,35.5,46.8,21.5,7.7,5.9,11.1,21.8,107.5
15,Houston Rockets,5,240.0,40.8,84.4,.483,11.6,28.8,.403,29.2,55.6,.525,16.8,25.2,.667,9.8,33.8,43.6,28.8,9.2,5.4,14.2,22.2,110.0
16,Dallas Mavericks,5,240.0,39.4,82.8,.476,10.2,28.0,.364,29.2,54.8,.533,23.0,29.4,.782,13.6,33.6,47.2,21.4,7.6,4.6,13.0,22.4,112.0
,League Average,11,241.5,36.5,83.1,.440,9.1,25.8,.354,27.4,57.3,.478,17.6,23.6,.747,10.5,32.5,43.0,19.9,7.3,5.0,13.2,21.1,99.8
