,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Quincy Acy,SF,23,TOT,63,847,,16%,77%,7%,,-6.7,-4.7,10,7,73,8,26,2,64,5,10,acyqu01
1,Quincy Acy,SF,23,TOR,7,61,,,52%,48%,,-14.8,-18.8,0,1,4,1,4,0,11,0,0,acyqu01
1,Quincy Acy,SF,23,SAC,56,786,,17%,79%,3%,,-6.0,-3.6,10,6,69,7,22,2,53,5,10,acyqu01
2,Steven Adams,C,20,OKC,81,1197,,,,1%,99%,3.4,-4.9,13,26,71,29,51,2,97,5,13,adamsst01
3,Jeff Adrien,PF,27,TOT,53,961,,,5%,94%,1%,-4.1,3.1,13,11,55,6,57,7,82,14,27,adrieje01
3,Jeff Adrien,PF,27,CHA,25,256,,,20%,80%,,-0.8,-0.7,1,2,17,3,8,4,15,4,3,adrieje01
3,Jeff Adrien,PF,27,MIL,28,705,,,,99%,1%,-5.3,4.4,12,9,38,3,49,3,67,10,24,adrieje01
4,Arron Afflalo,SG,28,ORL,73,2552,,49%,50%,1%,,-7.6,-5.0,53,42,52,20,136,14,571,31,59,afflaar01
5,Alexis Ajinça,C,25,NOP,56,951,,,,,100%,-5.6,-4.0,16,18,89,19,31,5,88,7,16,ajincal01
6,Cole Aldrich,C,25,NYK,46,330,,,,,100%,-1.9,-0.9,3,6,24,6,13,1,33,2,4,aldrico01
7,LaMarcus Aldridge,PF,28,POR,69,2498,,,,89%,11%,7.2,8.9,33,39,81,28,158,1,446,39,41,aldrila01
8,Lavoy Allen,PF,24,TOT,65,1072,,,,60%,40%,-8.8,0.7,20,9,77,13,16,2,168,2,11,allenla01
8,Lavoy Allen,PF,24,PHI,51,960,,,1%,67%,33%,-9.1,2.1,19,8,69,12,15,1,152,2,9,allenla01
8,Lavoy Allen,PF,24,IND,14,112,,,,,100%,-6.5,-11.6,1,1,8,1,1,1,16,0,2,allenla01
9,Ray Allen*,SG,38,MIA,73,1936,,61%,39%,,,3.5,-3.5,44,25,62,7,27,5,343,7,9,allenra02
10,Tony Allen,SG,32,MEM,55,1278,23%,74%,3%,,,5.3,4.7,43,26,41,10,60,5,202,15,35,allento01
11,Al-Farouq Aminu,SF,23,NOP,80,2045,,,77%,23%,,-4.4,-3.7,34,26,77,18,70,8,246,13,47,aminual01
12,Lou Amundson,PF,31,TOT,19,185,,,,88%,12%,-5.8,-3.4,3,2,28,7,6,2,16,0,5,amundlo01
12,Lou Amundson,PF,31,NOP,18,184,,,,88%,12%,-5.1,-2.7,3,2,28,7,6,2,16,0,5,amundlo01
12,Lou Amundson,PF,31,CHI,1,1,,,,100%,,-133.3,-135.5,0,0,0,0,0,0,0,0,0,amundlo01
13,Chris Andersen,C,35,MIA,72,1396,,,,28%,72%,6.5,1.8,11,13,99,17,65,7,44,12,16,anderch01
14,Alan Anderson,SF,31,BRK,78,1773,,26%,73%,1%,,0.0,1.3,34,14,66,7,50,25,191,12,24,anderal01
15,James Anderson,SG,24,PHI,80,2309,1%,75%,24%,1%,,-11.2,-1.3,47,30,98,16,44,4,353,10,39,anderja01
16,Ryan Anderson,PF,25,NOP,22,795,,,,83%,17%,1.6,5.3,3,12,26,3,23,0,38,3,13,anderry01
17,Giannis Antetokounmpo,SF,19,MIL,77,1897,,1%,74%,24%,,-5.2,7.2,45,31,80,22,86,10,337,8,29,antetgi01
18,Carmelo Anthony,PF,29,NYK,77,2982,,,38%,62%,1%,1.2,9.0,72,52,92,40,205,11,588,41,71,anthoca01
