,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Aaron Brooks,25,HOU,62.0,403.0,615,0.655,82,35.6,19.6,2.6,5.3,0.8,0.2,.432,.398,.822,5.5,.091,brookaa01
2T,Kevin Durant,21,OKC,17.0,101.0,615,0.164,82,39.5,30.1,7.6,2.8,1.4,1.0,.476,.365,.900,16.1,.238,duranke01
2T,Marc Gasol,25,MEM,9.0,101.0,615,0.164,69,35.8,14.6,9.3,2.4,1.0,1.6,.581,.000,.670,8.4,.164,gasolma01
2T,George Hill,23,SAS,7.0,101.0,615,0.164,78,29.2,12.4,2.6,2.9,0.9,0.3,.478,.399,.772,6.7,.142,hillge01
5,Andrew Bogut,25,MIL,7.0,93.0,615,0.151,69,32.3,15.9,10.2,1.8,0.6,2.5,.520,.000,.629,7.5,.161,bogutan01
6,Russell Westbrook,21,OKC,5.0,67.0,615,0.109,82,34.3,16.1,4.9,8.0,1.3,0.4,.418,.221,.780,6.1,.105,westbru01
7,Joakim Noah,24,CHI,7.0,64.0,615,0.104,64,30.1,10.7,11.0,2.1,0.5,1.6,.504,,.744,6.2,.154,noahjo01
8,Gerald Wallace,27,CHA,3.0,29.0,615,0.047,76,41.0,18.2,10.0,2.1,1.5,1.1,.484,.371,.776,11.5,.177,wallage01
9T,Brook Lopez,21,NJN,1.0,19.0,615,0.031,82,36.9,18.8,8.6,2.3,0.7,1.7,.499,.000,.817,7.9,.125,lopezbr01
9T,Corey Brewer,23,MIN,0.0,19.0,615,0.031,82,30.3,13.0,3.4,2.4,1.4,0.4,.431,.346,.648,1.0,.020,breweco01
11,Carl Landry,26,TOT,0.0,18.0,615,0.029,80,30.9,16.8,5.9,0.8,0.7,0.8,.536,.333,.806,7.7,.150,landrca01
12T,Rajon Rondo,23,BOS,2.0,12.0,615,0.020,81,36.6,13.7,4.4,9.8,2.3,0.1,.508,.213,.621,9.6,.156,rondora01
12T,Andray Blatche,23,WAS,1.0,12.0,615,0.020,81,27.9,14.1,6.3,2.1,1.0,0.9,.478,.295,.744,3.4,.073,blatcan01
14T,Channing Frye,26,PHO,1.0,10.0,615,0.016,81,27.0,11.2,5.3,1.4,0.8,0.9,.451,.439,.810,6.4,.141,fryech01
14T,Danilo Gallinari,21,NYK,0.0,10.0,615,0.016,81,33.9,15.1,4.9,1.7,0.9,0.7,.423,.381,.818,5.6,.098,gallida01
16,Josh Smith,24,ATL,0.0,8.0,615,0.013,81,35.4,15.7,8.7,4.2,1.6,2.1,.505,.000,.618,9.3,.155,smithjo03
17,David Lee,26,NYK,0.0,7.0,615,0.011,81,37.3,20.2,11.7,3.6,1.0,0.5,.545,.000,.812,10.3,.163,leeda02
18,Dwight Howard,24,ORL,1.0,5.0,615,0.008,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,howardw01
19T,Ersan İlyasova,22,MIL,0.0,4.0,615,0.007,81,23.4,10.4,6.4,1.0,0.7,0.3,.443,.336,.715,5.8,.146,ilyaser01
19T,Chris Kaman,27,LAC,0.0,4.0,615,0.007,76,34.3,18.5,9.3,1.6,0.5,1.2,.490,.000,.749,2.4,.044,kamanch01
19T,JJ Redick,25,ORL,0.0,4.0,615,0.007,82,22.0,9.6,1.9,1.9,0.3,0.0,.439,.405,.860,6.5,.173,redicjj01
22T,Chris Douglas-Roberts,23,NJN,0.0,3.0,615,0.005,67,25.8,9.8,3.0,1.4,0.8,0.3,.445,.259,.847,0.7,.020,douglch01
22T,Nenê,27,DEN,0.0,3.0,615,0.005,82,33.6,13.8,7.6,2.5,1.4,1.0,.587,.000,.704,10.8,.188,hilarne01
22T,Paul Millsap,24,UTA,0.0,3.0,615,0.005,82,27.8,11.6,6.8,1.6,0.8,1.2,.538,.111,.693,7.2,.151,millspa01
25,Robin Lopez,21,PHO,0.0,2.0,615,0.003,51,19.3,8.4,4.9,0.1,0.2,1.0,.588,,.704,3.2,.158,lopezro01
26T,Monta Ellis,24,GSW,0.0,1.0,615,0.002,64,41.4,25.5,4.0,5.3,2.2,0.4,.449,.338,.753,1.3,.023,ellismo01
26T,J.J. Hickson,21,CLE,0.0,1.0,615,0.002,81,20.9,8.5,4.9,0.5,0.4,0.5,.554,.000,.681,4.3,.123,hicksjj01
26T,Zach Randolph,28,MEM,0.0,1.0,615,0.002,81,37.7,20.8,11.7,1.8,1.0,0.4,.488,.288,.778,9.7,.153,randoza01
26T,John Salmons,30,TOT,0.0,1.0,615,0.002,81,34.9,15.4,3.3,2.8,1.2,0.3,.441,.382,.830,7.1,.121,salmojo01
26T,Ben Wallace,35,DET,0.0,1.0,615,0.002,69,28.6,5.5,8.7,1.5,1.2,1.2,.541,.000,.406,4.7,.115,wallabe01
