,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,CJ McCollum,24,POR,101.0,559.0,650,0.860,80,34.8,20.8,3.2,4.3,1.2,0.3,.448,.417,.827,6.0,.104,mccolcj01
2,Kemba Walker,25,CHO,7.0,166.0,650,0.255,81,35.6,20.9,4.4,5.2,1.6,0.5,.427,.371,.847,9.9,.165,walkeke02
3,Giannis Antetokounmpo,21,MIL,4.0,99.0,650,0.152,80,35.3,16.9,7.7,4.3,1.2,1.4,.506,.257,.724,7.1,.121,antetgi01
4,Stephen Curry,27,GSW,7.0,83.0,650,0.128,79,34.2,30.1,5.4,6.7,2.1,0.2,.504,.454,.908,17.9,.318,curryst01
5,Will Barton,25,DEN,1.0,62.0,650,0.095,82,28.7,14.4,5.8,2.5,0.9,0.5,.432,.345,.806,4.3,.088,bartowi01
6,Jae Crowder,25,BOS,1.0,45.0,650,0.069,73,31.6,14.2,5.1,1.8,1.7,0.5,.443,.336,.820,7.3,.152,crowdja01
7,Draymond Green,25,GSW,2.0,43.0,650,0.066,81,34.7,14.0,9.5,7.4,1.5,1.4,.490,.388,.696,11.1,.190,greendr01
8,Isaiah Thomas,26,BOS,3.0,30.0,650,0.046,82,32.2,22.2,3.0,6.2,1.1,0.1,.428,.359,.871,9.7,.177,thomais02
9,Hassan Whiteside,26,MIA,1.0,26.0,650,0.040,73,29.1,14.2,11.8,0.4,0.6,3.7,.606,,.650,10.3,.233,whiteha01
10,Kawhi Leonard,24,SAS,1.0,18.0,650,0.028,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277,leonaka01
11,Andre Drummond,22,DET,1.0,11.0,650,0.017,81,32.9,16.2,14.8,0.8,1.5,1.4,.521,.333,.355,7.4,.133,drumman01
12,Gary Harris,21,DEN,1.0,6.0,650,0.009,76,32.1,12.3,2.9,1.9,1.3,0.2,.469,.354,.820,4.0,.079,harriga01
13T,Kent Bazemore,26,ATL,0.0,4.0,650,0.006,75,27.8,11.6,5.1,2.3,1.3,0.5,.441,.357,.815,4.1,.094,bazemke01
13T,Evan Fournier,23,ORL,0.0,4.0,650,0.006,79,32.5,15.4,2.8,2.7,1.2,0.0,.462,.400,.836,5.7,.106,fournev01
15T,Rodney Hood,23,UTA,0.0,3.0,650,0.005,79,32.2,14.5,3.4,2.7,0.9,0.2,.420,.359,.860,6.0,.112,hoodro01
15T,Reggie Jackson,25,DET,0.0,3.0,650,0.005,79,30.7,18.8,3.2,6.2,0.7,0.1,.434,.353,.864,6.9,.136,jacksre01
15T,Ian Mahinmi,29,IND,0.0,3.0,650,0.005,71,25.6,9.3,7.1,1.5,0.9,1.1,.589,,.587,6.2,.163,mahinia01
15T,Russell Westbrook,27,OKC,0.0,3.0,650,0.005,80,34.4,23.5,7.8,10.4,2.0,0.3,.454,.296,.812,14.0,.245,westbru01
19T,Zach LaVine,20,MIN,0.0,1.0,650,0.002,82,28.0,14.0,2.8,3.1,0.8,0.2,.452,.389,.793,2.6,.054,lavinza01
19T,Kyle Lowry,29,TOR,0.0,1.0,650,0.002,77,37.0,21.2,4.7,6.4,2.1,0.4,.427,.388,.811,11.6,.196,lowryky01
