,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Danny Granger,25,IND,48.0,364.0,605,0.602,67,36.2,25.8,5.1,2.7,1.0,1.4,.447,.404,.878,8.0,.158,grangda01
2,Devin Harris,25,NJN,43.0,339.0,605,0.560,69,36.1,21.3,3.3,6.9,1.7,0.2,.438,.291,.820,7.5,.145,harride01
3,Kevin Durant,20,OKC,6.0,83.0,605,0.137,74,39.0,25.3,6.5,2.8,1.3,0.7,.476,.422,.863,7.9,.132,duranke01
4,Paul Millsap,23,UTA,3.0,77.0,605,0.127,76,30.1,13.5,8.6,1.8,1.0,1.0,.534,.000,.699,7.7,.162,millspa01
5,Nenê,26,DEN,7.0,58.0,605,0.096,77,32.6,14.6,7.8,1.4,1.2,1.3,.604,.200,.723,9.3,.177,hilarne01
6,Rajon Rondo,22,BOS,2.0,29.0,605,0.048,80,33.0,11.9,5.2,8.2,1.9,0.1,.505,.313,.642,9.9,.179,rondora01
7,David Lee,25,NYK,1.0,25.0,605,0.041,81,34.9,16.0,11.7,2.1,1.0,0.3,.549,.000,.755,9.0,.154,leeda02
8,John Salmons,29,TOT,2.0,17.0,605,0.028,79,37.5,18.3,4.2,3.2,1.1,0.3,.472,.417,.830,5.6,.090,salmojo01
9,Thaddeus Young,20,PHI,1.0,16.0,605,0.026,75,34.4,15.3,5.0,1.1,1.3,0.3,.495,.341,.735,5.5,.102,youngth01
10,Von Wafer,23,HOU,2.0,12.0,605,0.020,63,19.4,9.7,1.8,1.1,0.6,0.1,.447,.390,.752,2.6,.103,wafervo01
11,Brandon Roy,24,POR,1.0,8.0,605,0.013,78,37.2,22.6,4.7,5.1,1.1,0.3,.480,.377,.824,13.5,.223,roybr01
12T,Chris Andersen,30,DEN,1.0,6.0,605,0.010,71,20.6,6.4,6.2,0.4,0.6,2.5,.548,.200,.718,5.4,.176,anderch01
12T,J.R. Smith,23,DEN,1.0,6.0,605,0.010,81,27.7,15.2,3.7,2.8,1.0,0.2,.446,.397,.754,5.8,.124,smithjr01
14T,Wilson Chandler,21,NYK,1.0,5.0,605,0.008,82,33.4,14.4,5.4,2.1,0.9,0.9,.432,.328,.795,3.1,.054,chandwi01
14T,Glen Davis,23,BOS,1.0,5.0,605,0.008,76,21.5,7.0,4.0,0.9,0.7,0.3,.442,.400,.730,3.7,.108,davisgl01
14T,Jason Terry,31,DAL,1.0,5.0,605,0.008,74,33.7,19.6,2.4,3.4,1.3,0.3,.463,.366,.880,7.3,.140,terryja01
17T,Aaron Brooks,24,HOU,0.0,4.0,605,0.007,80,25.0,11.2,2.0,3.0,0.6,0.1,.404,.366,.866,3.6,.086,brookaa01
17T,Jameer Nelson,26,ORL,0.0,4.0,605,0.007,42,31.2,16.7,3.5,5.4,1.2,0.1,.503,.453,.887,6.0,.220,nelsoja01
19T,LaMarcus Aldridge,23,POR,0.0,3.0,605,0.005,81,37.1,18.1,7.5,1.9,1.0,1.0,.484,.250,.781,9.5,.151,aldrila01
19T,Kelenna Azubuike,25,GSW,0.0,3.0,605,0.005,74,32.1,14.4,5.0,1.6,0.8,0.7,.464,.448,.808,4.1,.083,azubuke01
19T,Roger Mason,28,SAS,0.0,3.0,605,0.005,82,30.4,11.8,3.1,2.1,0.5,0.1,.425,.421,.890,4.7,.091,masonro01
19T,Dwyane Wade,27,MIA,0.0,3.0,605,0.005,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,.317,.765,14.7,.232,wadedw01
23T,Ronnie Brewer,23,UTA,0.0,2.0,605,0.003,81,32.2,13.7,3.7,2.2,1.7,0.4,.508,.259,.702,6.8,.126,brewero02
23T,Luis Scola,28,HOU,0.0,2.0,605,0.003,82,30.3,12.7,8.8,1.5,0.8,0.1,.531,.000,.760,8.6,.165,scolalu01
25T,J.J. Barea,24,DAL,0.0,1.0,605,0.002,79,20.3,7.8,2.2,3.4,0.5,0.1,.442,.357,.753,2.2,.066,bareajo01
25T,Andrea Bargnani,23,TOR,0.0,1.0,605,0.002,78,31.4,15.4,5.3,1.2,0.4,1.2,.450,.409,.831,3.9,.076,bargnan01
25T,Rasual Butler,29,NOH,0.0,1.0,605,0.002,82,31.9,11.2,3.3,0.9,0.6,0.7,.433,.390,.782,4.6,.084,butlera01
25T,Mike Conley,21,MEM,0.0,1.0,605,0.002,82,30.6,10.9,3.4,4.3,1.1,0.1,.442,.406,.817,4.5,.086,conlemi01
25T,Jeff Green,22,OKC,0.0,1.0,605,0.002,78,36.8,16.5,6.7,2.0,1.0,0.4,.446,.389,.788,4.2,.070,greenje02
25T,Emeka Okafor,26,CHA,0.0,1.0,605,0.002,82,32.8,13.2,10.1,0.6,0.6,1.7,.561,,.593,8.2,.147,okafoem01
